C0-56-27-1B-F3-F4,C0-56-27-1B-9D-C5,C0-56-27-18-69-64,C0-56-27-18-69-66,C0-56-27-1B-F3-F5,C0-56-27-1B-9D-C6,D8-84-66-13-10-00,C0-56-27-18-69-65,loc
-45.0,-47.0,-42.0,-40.0,-47.0,-62.0,-54.0,-53.0,1
-41.0,-45.0,-42.0,-42.0,-49.0,-61.0,-53.0,-52.0,1
-41.0,,-42.0,-42.0,-49.0,-58.0,-55.0,-52.0,1
-41.0,-48.0,-41.0,-47.0,-48.0,-61.0,-54.0,-53.0,1
-42.0,-47.0,-41.0,-45.0,-48.0,-60.0,-53.0,-52.0,1
-41.0,-47.0,-42.0,,-49.0,-56.0,-53.0,-53.0,1
-41.0,-51.0,-42.0,-45.0,-49.0,-58.0,-54.0,-53.0,1
-45.0,-47.0,-41.0,,-48.0,-61.0,-54.0,-53.0,1
-42.0,-47.0,-41.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-41.0,-45.0,-48.0,-62.0,-54.0,-53.0,1
-42.0,-47.0,-41.0,-41.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-45.0,-41.0,-48.0,-61.0,-54.0,-54.0,1
-41.0,-47.0,-42.0,-46.0,-48.0,-61.0,-54.0,-53.0,1
-41.0,-49.0,-41.0,-41.0,-48.0,-58.0,-54.0,-53.0,1
-42.0,-47.0,-44.0,-43.0,-48.0,-61.0,-53.0,-53.0,1
-47.0,-48.0,-42.0,,-48.0,-61.0,-54.0,-53.0,1
-41.0,-47.0,-42.0,-45.0,-47.0,-61.0,-54.0,-53.0,1
-41.0,,-43.0,-47.0,-47.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-45.0,-42.0,-47.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-47.0,-42.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-43.0,-45.0,-48.0,-61.0,-55.0,-52.0,1
-42.0,-47.0,-41.0,-43.0,-47.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-43.0,-42.0,-48.0,-61.0,-54.0,-53.0,1
,-47.0,-44.0,,-48.0,-61.0,-54.0,-53.0,1
-41.0,-51.0,-42.0,-42.0,-47.0,-61.0,-55.0,-53.0,1
,-47.0,-42.0,,-48.0,-61.0,-54.0,-53.0,1
-41.0,-48.0,-41.0,-43.0,-47.0,-58.0,-54.0,-53.0,1
-42.0,-48.0,-44.0,,-48.0,-61.0,-55.0,-53.0,1
-41.0,-68.0,-42.0,-42.0,-48.0,-60.0,-55.0,-53.0,1
-41.0,-48.0,-42.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-46.0,-43.0,-48.0,-60.0,-54.0,-53.0,1
-42.0,-47.0,-42.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-42.0,-43.0,-48.0,-61.0,-55.0,-54.0,1
-42.0,-48.0,-42.0,,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-42.0,-45.0,-48.0,-61.0,-55.0,-54.0,1
-42.0,-47.0,-44.0,-45.0,-48.0,-61.0,-54.0,-53.0,1
-42.0,,-41.0,-43.0,-48.0,-61.0,-54.0,-54.0,1
-41.0,-48.0,-41.0,-45.0,-48.0,-61.0,-54.0,-52.0,1
-41.0,-48.0,-42.0,-45.0,-48.0,-60.0,-54.0,-53.0,1
-41.0,-47.0,-41.0,-44.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-47.0,-42.0,-45.0,-48.0,-58.0,-55.0,-53.0,1
-44.0,-47.0,-42.0,-42.0,-48.0,-60.0,-56.0,-53.0,1
-41.0,-47.0,-42.0,-42.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-46.0,-41.0,-48.0,-60.0,-56.0,-53.0,1
-41.0,-47.0,-42.0,-45.0,-48.0,-58.0,-56.0,-53.0,1
,-47.0,-42.0,-42.0,-48.0,-61.0,-53.0,-53.0,1
-43.0,-51.0,-42.0,,-48.0,-61.0,-53.0,-54.0,1
,-48.0,-44.0,-41.0,-48.0,-60.0,-53.0,-54.0,1
,-47.0,-42.0,-43.0,-48.0,-61.0,-52.0,-53.0,1
-42.0,-48.0,-41.0,-42.0,-49.0,-60.0,-52.0,-54.0,1
-42.0,-48.0,-42.0,-43.0,-48.0,-60.0,-52.0,-53.0,1
-41.0,-48.0,-44.0,-42.0,-48.0,-61.0,-53.0,-53.0,1
-42.0,-48.0,-42.0,-42.0,-49.0,-61.0,-53.0,-53.0,1
-41.0,-47.0,-41.0,-42.0,-48.0,-61.0,-54.0,-53.0,1
-42.0,-48.0,-46.0,-42.0,-48.0,-61.0,-54.0,-53.0,1
-42.0,-47.0,-42.0,-43.0,-48.0,-61.0,-54.0,-53.0,1
-42.0,-48.0,-42.0,-42.0,-49.0,-61.0,-55.0,-53.0,1
-42.0,,-42.0,-42.0,-48.0,-60.0,-54.0,-53.0,1
,-48.0,-42.0,-42.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-48.0,-45.0,,-47.0,-61.0,-55.0,-53.0,1
-42.0,,-41.0,-42.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-48.0,-42.0,-41.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-47.0,-42.0,-43.0,,-61.0,-56.0,-53.0,1
,-48.0,-42.0,-42.0,-47.0,-61.0,-55.0,-53.0,1
-42.0,,-41.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-42.0,,-48.0,-61.0,-55.0,-53.0,1
-41.0,-49.0,-42.0,-42.0,-47.0,-61.0,-55.0,-54.0,1
-42.0,-47.0,-46.0,-46.0,-48.0,-58.0,-56.0,-53.0,1
-42.0,-48.0,-42.0,-42.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-42.0,-46.0,-48.0,-61.0,-56.0,-53.0,1
-43.0,-47.0,-42.0,-47.0,-48.0,-61.0,-56.0,-53.0,1
-41.0,-48.0,-42.0,,-48.0,-61.0,-56.0,-53.0,1
-41.0,-47.0,-42.0,-46.0,-48.0,-61.0,-56.0,-52.0,1
,,,,,,,,1
-41.0,-47.0,-42.0,,-48.0,-61.0,-56.0,-53.0,1
-42.0,-48.0,-42.0,-42.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-47.0,-41.0,-42.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-47.0,-43.0,-42.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-42.0,-45.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,,-43.0,-42.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-48.0,-47.0,-42.0,-48.0,-60.0,-56.0,-53.0,1
-43.0,-47.0,-42.0,-45.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-47.0,-42.0,-41.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-42.0,-46.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-42.0,-44.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-48.0,-43.0,-44.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-47.0,-42.0,-43.0,-48.0,-60.0,-56.0,-53.0,1
-43.0,-47.0,-43.0,-42.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,,-46.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
,-48.0,-42.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,,-43.0,,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-42.0,-41.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-43.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-45.0,-47.0,-43.0,-44.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-43.0,,-48.0,-61.0,-56.0,-53.0,1
-42.0,,-42.0,-45.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-42.0,,-48.0,-61.0,-56.0,-53.0,1
-46.0,-47.0,-41.0,-46.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-45.0,-42.0,-47.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-41.0,-41.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-47.0,-42.0,,-48.0,-58.0,-56.0,-53.0,1
-41.0,-47.0,-42.0,-45.0,-48.0,-60.0,-56.0,-53.0,1
,-46.0,-42.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-41.0,-42.0,-47.0,-60.0,-56.0,-53.0,1
-42.0,-47.0,-45.0,-41.0,-48.0,-60.0,-56.0,-53.0,1
-43.0,-52.0,-42.0,-44.0,-48.0,-60.0,-56.0,-52.0,1
-42.0,-46.0,-42.0,-42.0,-48.0,-60.0,-55.0,-53.0,1
,-46.0,-42.0,-44.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-46.0,-42.0,-42.0,-48.0,-61.0,-55.0,-52.0,1
-42.0,-46.0,-41.0,-43.0,-48.0,-58.0,-55.0,-53.0,1
-42.0,,-42.0,-41.0,-48.0,-58.0,-54.0,-53.0,1
-42.0,-47.0,-41.0,-41.0,-47.0,-58.0,-56.0,-53.0,1
-42.0,-47.0,-45.0,,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-42.0,-43.0,-48.0,-60.0,-57.0,-53.0,1
-42.0,,-41.0,-42.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-47.0,-44.0,-41.0,-47.0,,-55.0,-53.0,1
-41.0,-47.0,-41.0,-42.0,-48.0,-60.0,-56.0,-52.0,1
-42.0,-47.0,-42.0,,-48.0,-58.0,-56.0,-53.0,1
-42.0,-47.0,-47.0,-41.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-42.0,,-48.0,-61.0,-56.0,-53.0,1
-42.0,-46.0,-45.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-46.0,-43.0,-42.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-46.0,-43.0,-42.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-47.0,-42.0,,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-40.0,-41.0,-48.0,-60.0,-59.0,-53.0,1
-42.0,-49.0,-43.0,-42.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-49.0,-39.0,-42.0,-47.0,-60.0,-55.0,-54.0,1
-41.0,-48.0,-40.0,-39.0,-47.0,-62.0,-55.0,-54.0,1
-41.0,-48.0,-45.0,-40.0,-47.0,-61.0,-56.0,-52.0,1
-41.0,-48.0,-40.0,-42.0,-47.0,-61.0,-56.0,-53.0,1
-41.0,-47.0,-39.0,-41.0,-48.0,-62.0,-56.0,-53.0,1
-42.0,-48.0,-45.0,-44.0,-48.0,-61.0,-56.0,-53.0,1
-41.0,-48.0,-41.0,-39.0,-47.0,-62.0,-55.0,-53.0,1
,-48.0,-41.0,-42.0,-48.0,-62.0,-55.0,-52.0,1
-42.0,-49.0,-41.0,,-48.0,-62.0,-56.0,-53.0,1
-42.0,-48.0,-42.0,,-48.0,-63.0,-55.0,-53.0,1
-43.0,-49.0,-41.0,-45.0,-48.0,-63.0,-55.0,-53.0,1
-42.0,-49.0,-40.0,-42.0,-48.0,-63.0,-56.0,-53.0,1
-43.0,,-41.0,-41.0,-47.0,-62.0,-56.0,-53.0,1
-42.0,-48.0,-44.0,-40.0,-48.0,-62.0,-56.0,-53.0,1
-42.0,-50.0,-42.0,-43.0,-48.0,-62.0,-55.0,-53.0,1
-42.0,-47.0,-41.0,-46.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-41.0,-39.0,-48.0,-61.0,-54.0,-53.0,1
-41.0,-47.0,-41.0,-46.0,-48.0,-61.0,-56.0,-53.0,1
-41.0,-47.0,-41.0,-45.0,-48.0,-62.0,-56.0,-53.0,1
-42.0,-47.0,-41.0,-40.0,,-62.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-40.0,-48.0,-61.0,-56.0,-53.0,1
-41.0,,-43.0,-44.0,-47.0,-62.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-46.0,-48.0,-62.0,-55.0,-53.0,1
-41.0,,-45.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-48.0,-44.0,-48.0,-47.0,-61.0,-56.0,-53.0,1
-41.0,-48.0,-44.0,-45.0,-48.0,-62.0,-55.0,-52.0,1
,-48.0,-44.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-47.0,-44.0,-47.0,-61.0,-55.0,-52.0,1
-41.0,-48.0,-46.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-48.0,-43.0,,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-43.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-45.0,-44.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-43.0,,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-44.0,-44.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-44.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-52.0,-47.0,-44.0,-48.0,,-56.0,-53.0,1
-42.0,-47.0,-44.0,-48.0,-48.0,-62.0,-56.0,-53.0,1
-42.0,-47.0,-45.0,,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-45.0,-44.0,-47.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-48.0,-48.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-47.0,-47.0,-61.0,-56.0,-52.0,1
-42.0,-48.0,-44.0,,-48.0,-61.0,-56.0,-53.0,1
-41.0,-47.0,-43.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,,-48.0,-61.0,-56.0,-53.0,1
-42.0,-48.0,-44.0,-47.0,-48.0,-61.0,-56.0,-52.0,1
-42.0,-48.0,-45.0,-45.0,-48.0,-61.0,-55.0,-52.0,1
-41.0,-47.0,-45.0,-47.0,-48.0,-61.0,-55.0,-52.0,1
-41.0,,-47.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,,-44.0,-44.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-68.0,-47.0,-44.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-48.0,-44.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,,-48.0,-45.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,-48.0,-44.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-45.0,-47.0,-48.0,-58.0,-56.0,-53.0,1
-42.0,-48.0,-44.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-46.0,-44.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-43.0,-47.0,-44.0,-44.0,-50.0,-60.0,-57.0,-53.0,1
-41.0,-47.0,-44.0,-44.0,-49.0,-59.0,-55.0,-53.0,1
-40.0,-47.0,-46.0,-44.0,-48.0,-60.0,-56.0,-53.0,1
,-47.0,-44.0,-46.0,-48.0,-61.0,-56.0,-53.0,1
-40.0,-47.0,-45.0,-46.0,-48.0,-61.0,-56.0,-53.0,1
,-46.0,-45.0,,-48.0,-61.0,-55.0,-53.0,1
-41.0,-46.0,-44.0,,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-47.0,-46.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-46.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-47.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-47.0,-44.0,-48.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,-44.0,-47.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-45.0,,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-47.0,-48.0,-60.0,-55.0,-53.0,1
-48.0,-48.0,-44.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-45.0,,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,,-48.0,-60.0,-56.0,-53.0,1
-41.0,-47.0,-44.0,-47.0,-48.0,-58.0,-55.0,-53.0,1
-42.0,-48.0,-43.0,-44.0,-48.0,-60.0,-55.0,-53.0,1
-41.0,-48.0,-44.0,-44.0,-48.0,-58.0,-55.0,-53.0,1
-42.0,,-44.0,-43.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-46.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-47.0,-47.0,-48.0,-58.0,-55.0,-53.0,1
-41.0,-48.0,-45.0,-47.0,-48.0,-58.0,-55.0,-53.0,1
-42.0,,-44.0,-48.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-44.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-47.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-47.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-48.0,-44.0,-47.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-45.0,-44.0,-48.0,-58.0,-56.0,-53.0,1
-41.0,-48.0,-44.0,-45.0,-48.0,-60.0,-55.0,,1
-41.0,-48.0,-48.0,-47.0,-48.0,-58.0,-55.0,-53.0,1
-42.0,-47.0,-45.0,-44.0,-48.0,-58.0,-55.0,-53.0,1
-41.0,-47.0,-43.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,,-45.0,-44.0,-48.0,-58.0,-55.0,-53.0,1
-41.0,-48.0,-44.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-47.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-43.0,-44.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,,-44.0,-44.0,,-60.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,-47.0,-48.0,-60.0,-55.0,-53.0,1
,-51.0,-45.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-47.0,-44.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-43.0,-47.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-47.0,-47.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-44.0,-48.0,-48.0,-61.0,-55.0,-52.0,1
-42.0,-48.0,-44.0,,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-45.0,,-48.0,-61.0,-55.0,-53.0,1
-48.0,-48.0,-46.0,-46.0,-48.0,-60.0,-55.0,-53.0,1
-41.0,-48.0,-45.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-41.0,-48.0,-47.0,-46.0,-48.0,-61.0,-55.0,-53.0,1
,-47.0,-44.0,-45.0,-48.0,-61.0,-56.0,-53.0,1
-41.0,-48.0,-44.0,-44.0,-48.0,-60.0,-55.0,-53.0,1
-41.0,-48.0,-43.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-47.0,,-48.0,-61.0,-55.0,-53.0,1
,-47.0,-45.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-44.0,,-48.0,-61.0,-55.0,-53.0,1
-41.0,-48.0,-45.0,-47.0,-48.0,-58.0,-56.0,-53.0,1
-41.0,-47.0,-45.0,-47.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-46.0,-46.0,-48.0,-61.0,-56.0,-53.0,1
-41.0,-48.0,-45.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-41.0,-48.0,-45.0,-48.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-45.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-41.0,-47.0,-45.0,,-48.0,-61.0,-55.0,-52.0,1
-42.0,-47.0,-45.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-48.0,-47.0,-48.0,-60.0,-56.0,-52.0,1
-41.0,-50.0,-44.0,-44.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-47.0,-45.0,-47.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-47.0,-47.0,-46.0,-48.0,-60.0,-55.0,-52.0,1
-42.0,-47.0,-47.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-45.0,-47.0,-48.0,-58.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-45.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-45.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,,-47.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-45.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-44.0,-48.0,-48.0,-61.0,-56.0,-53.0,1
-41.0,-47.0,-47.0,-44.0,-48.0,-60.0,,-53.0,1
-42.0,-47.0,-43.0,-44.0,-48.0,-60.0,-56.0,-53.0,1
-42.0,-47.0,-43.0,-48.0,-47.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-47.0,-43.0,-47.0,-61.0,,-52.0,1
-42.0,-48.0,-43.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-48.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-43.0,-43.0,-48.0,-61.0,-55.0,-52.0,1
-42.0,-47.0,-44.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-47.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-43.0,-43.0,-47.0,-60.0,-55.0,-53.0,1
-41.0,-47.0,-43.0,-42.0,-48.0,-61.0,-55.0,-52.0,1
-43.0,-47.0,-48.0,-48.0,-48.0,-61.0,-56.0,-53.0,1
-42.0,,-48.0,-44.0,-48.0,-61.0,-56.0,-53.0,1
-41.0,-47.0,-43.0,-49.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-42.0,-47.0,-48.0,-62.0,-55.0,-52.0,1
-42.0,-48.0,-45.0,-48.0,-48.0,-61.0,-55.0,-52.0,1
-43.0,-47.0,-44.0,-44.0,-48.0,-61.0,-55.0,-54.0,1
-41.0,-61.0,-43.0,-46.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-46.0,-46.0,-48.0,-62.0,-55.0,-52.0,1
-42.0,-48.0,-44.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-49.0,-43.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-46.0,-43.0,-49.0,-61.0,-55.0,-53.0,1
,,-45.0,,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-45.0,,-48.0,-61.0,-55.0,-53.0,1
-42.0,-49.0,-46.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-49.0,-47.0,-46.0,-48.0,-61.0,-55.0,-54.0,1
-42.0,-49.0,-44.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-49.0,-45.0,-46.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-50.0,-45.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-49.0,-44.0,-45.0,-48.0,-60.0,-54.0,-53.0,1
-42.0,-49.0,-44.0,-44.0,-48.0,-61.0,-54.0,-53.0,1
-42.0,-49.0,-46.0,-47.0,-48.0,-61.0,-55.0,-53.0,1
-43.0,,-46.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-47.0,-48.0,-42.0,-44.0,-48.0,-61.0,-54.0,-53.0,1
-42.0,-50.0,-42.0,-42.0,-48.0,-61.0,-55.0,-53.0,1
,-48.0,-45.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
,-48.0,-43.0,,-48.0,,-55.0,-53.0,1
-41.0,,-43.0,,-48.0,-61.0,-55.0,-52.0,1
-42.0,-48.0,-44.0,-44.0,-50.0,-61.0,-56.0,-53.0,1
-41.0,-47.0,-44.0,-43.0,-49.0,-61.0,-58.0,-53.0,1
-41.0,,-42.0,-44.0,-48.0,-59.0,-55.0,-53.0,1
-42.0,,-43.0,-44.0,-49.0,-58.0,-56.0,-52.0,1
-41.0,-47.0,-43.0,-43.0,-49.0,-61.0,-57.0,-52.0,1
-41.0,-47.0,-43.0,-43.0,-48.0,-62.0,-56.0,-53.0,1
-42.0,-46.0,-42.0,-42.0,-48.0,-62.0,-55.0,-53.0,1
-42.0,,-45.0,-45.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-42.0,-44.0,-49.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-44.0,-48.0,-48.0,-62.0,-56.0,-52.0,1
-48.0,-48.0,-44.0,-46.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-43.0,,-48.0,-60.0,-55.0,-53.0,1
-48.0,-48.0,-43.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-46.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-43.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-43.0,-44.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-43.0,-46.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-45.0,-44.0,-48.0,-60.0,-55.0,-53.0,1
-42.0,-48.0,-43.0,-42.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-43.0,-42.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,,-41.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-42.0,,-48.0,-61.0,-55.0,-52.0,1
-42.0,-48.0,-45.0,-45.0,-48.0,-61.0,-55.0,-52.0,1
-41.0,-47.0,-43.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-47.0,-42.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,,-45.0,,-48.0,-61.0,-56.0,-53.0,1
-42.0,-47.0,-43.0,,-48.0,-60.0,-55.0,-52.0,1
-42.0,-47.0,-42.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,,-45.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,-48.0,-43.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-43.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,,-43.0,-45.0,-48.0,-61.0,-55.0,-53.0,1
-42.0,,-42.0,-42.0,-48.0,-61.0,-55.0,-53.0,1
-41.0,-47.0,-44.0,-43.0,-48.0,-61.0,-55.0,-53.0,1
,-48.0,-43.0,,-48.0,-61.0,-56.0,-53.0,1
